Thread ID,FunctionName,Average,Max,Min,Call 
26168, TimeFunc1,0.020018§Á, 0.021017§Á, 0.020022§Á, 198

38360, TimeFunc2,0.029817§Á, 0.031000§Á, 0.030033§Á, 198

